Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM_WR,SQ_INSTS_VMEM_RD,SQ_INSTS_SALU,SQ_INSTS_VSKIPPED,TA_TA_BUSY_sum,TA_BUFFER_WAVEFRONTS_sum,TD_TD_BUSY_sum,TD_TC_STALL_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TD_TCP_STALL_CYCLES_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCC_CYCLE[0],TCC_RW_REQ[0],TCC_HIT[0],TCC_MISS[0],TCC_CYCLE[1],TCC_RW_REQ[1],TCC_HIT[1],TCC_MISS[1],TCC_CYCLE[2],TCC_RW_REQ[2],TCC_HIT[2],TCC_MISS[2],TCC_CYCLE[3],TCC_RW_REQ[3],TCC_HIT[3],TCC_MISS[3],TCC_CYCLE[4],TCC_RW_REQ[4],TCC_HIT[4],TCC_MISS[4],TCC_CYCLE[5],TCC_RW_REQ[5],TCC_HIT[5],TCC_MISS[5],TCC_CYCLE[6],TCC_RW_REQ[6],TCC_HIT[6],TCC_MISS[6],TCC_CYCLE[7],TCC_RW_REQ[7],TCC_HIT[7],TCC_MISS[7],TCC_CYCLE[8],TCC_RW_REQ[8],TCC_HIT[8],TCC_MISS[8],TCC_CYCLE[9],TCC_RW_REQ[9],TCC_HIT[9],TCC_MISS[9],TCC_CYCLE[10],TCC_RW_REQ[10],TCC_HIT[10],TCC_MISS[10],TCC_CYCLE[11],TCC_RW_REQ[11],TCC_HIT[11],TCC_MISS[11],TCC_CYCLE[12],TCC_RW_REQ[12],TCC_HIT[12],TCC_MISS[12],TCC_CYCLE[13],TCC_RW_REQ[13],TCC_HIT[13],TCC_MISS[13],TCC_CYCLE[14],TCC_RW_REQ[14],TCC_HIT[14],TCC_MISS[14],TCC_CYCLE[15],TCC_RW_REQ[15],TCC_HIT[15],TCC_MISS[15],CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,SPI_CSN_WINDOW_VALID,SPI_CSN_BUSY,GRBM_SPI_BUSY,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,0,41627,41627,622592,256,0,0,56,0,48,64,0x0,0x71de0462bf80,1048576,4039029,322876276,1070080,1048576,0,5243392,0,25093456.0,0.0,38995784.0,36710535.0,50142277.0,41414634.0,26.0,0.0,1415982,131872,66316,65582,1415982,131392,65848,65554,1415982,131712,66160,65552,1415982,131712,66160,65572,1415982,131712,66160,65556,1415982,131712,66160,65552,1415982,131712,66160,65556,1415982,131712,66160,65552,1415982,131872,66316,65579,1415982,131392,65848,65554,1415982,131712,66160,65552,1415982,131712,66160,65573,1415982,131712,66160,65556,1415982,131712,66160,65552,1415982,131712,66160,65556,1415982,131712,66160,65552,906678,509304,1415982,1224,5657200,5224188,1312439,3985537084648761,3985600464261405,3985600464349455,3985537094301656
1,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,1,41627,41627,8388608,256,0,0,20,4,32,64,0x0,0x719de8246d40,262144,12024112,961861712,0,131072,131072,1835008,0,23980813.0,0.0,37068795.0,34612425.0,38524893.0,37096283.0,104649.0,29814368.0,1115680,197008,65924,131110,1115680,197328,66236,131096,1115680,197248,66160,131088,1115680,197248,66160,131106,1115680,196928,65848,131086,1115680,196928,65848,131080,1115680,196928,65848,131096,1115680,196608,65536,131097,1115680,197008,65924,131105,1115680,197328,66236,131098,1115680,197248,66160,131088,1115680,197248,66160,131106,1115680,196928,65848,131084,1115680,196928,65848,131080,1115680,196928,65848,131098,1115680,196608,65536,131096,1115680,0,1115680,78,4462720,4008186,1009905,3985537099853219,3985600469372577,3985600469465073,3985537100490982
2,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,2,41627,41627,622592,256,0,0,56,0,48,64,0x0,0x71de0462bf80,1048576,3879557,310280012,1070080,1048576,0,5243392,0,24415702.0,0.0,38699892.0,36387292.0,49828430.0,41208966.0,0.0,0.0,2213804,131712,66160,65552,2213804,131392,65848,65548,2213804,131872,66316,65556,2213804,131712,66160,65552,2213804,131712,66160,65552,2213804,131712,66160,65552,2213804,131712,66160,65556,2213804,131712,66160,65552,2213804,131712,66160,65552,2213804,131392,65848,65548,2213804,131872,66316,65556,2213804,131712,66160,65552,2213804,131712,66160,65552,2213804,131712,66160,65552,2213804,131712,66160,65556,2213804,131712,66160,65552,1703177,510627,2213804,1224,8855216,5197812,1304010,3985537100543600,3985600469465073,3985600469551601,3985537102160699
3,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,3,41627,41627,8388608,256,0,0,20,4,32,64,0x0,0x719de8246d40,262144,13315008,1065173980,0,131072,131072,1835008,0,25978718.0,0.0,40998670.0,38537750.0,42653144.0,41021964.0,110670.0,33372840.0,2184961,197008,65924,131132,2184961,197248,66160,131113,2184961,197248,66160,131088,2184961,197328,66236,131116,2184961,196928,65848,131092,2184961,196928,65848,131080,2184961,196928,65848,131085,2184961,196608,65536,131072,2184961,197008,65924,131129,2184961,197248,66160,131111,2184961,197248,66160,131088,2184961,197328,66236,131116,2184961,196928,65848,131092,2184961,196928,65848,131080,2184961,196928,65848,131087,2184961,196608,65536,131072,2184961,0,2184961,0,8739844,4442738,1117521,3985537101130827,3985600469551601,3985600469639410,3985537103426289
4,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}) [clone .kd]",2,0,4,41627,41627,8388608,128,0,0,40,0,64,64,0x0,0x719dc846f6c0,2097152,49129913,3930143500,0,1048576,1048576,31195136,0,197980299.0,0.0,198043912.0,179882476.0,201993669.0,198060813.0,17323.0,4199.0,5441896,4317820,4186724,131117,5441896,4317820,4186724,131104,5441896,4317500,4186412,131088,5441896,4317820,4186724,131119,5441896,4317980,4186876,131108,5441896,4317900,4186800,131100,5441896,4318140,4187036,131106,5441896,4317900,4186800,131100,5441896,4317820,4186724,131120,5441896,4317820,4186724,131106,5441896,4317500,4186412,131088,5441896,4317820,4186724,131117,5441896,4317980,4186876,131108,5441896,4317900,4186800,131100,5441896,4318140,4187036,131104,5441896,4317900,4186800,131100,5378261,63635,5441896,154,21767584,21210582,5315714,3985537108745509,3985600476294902,3985600476646741,3985537109635865
5,__amd_rocclr_fillBufferAligned.kd,2,0,5,41627,41627,77824,256,0,0,12,4,48,64,0x0,0x719dfe9f3a00,25600,428239,34258088,0,25600,0,310784,0,1475434.0,0.0,1899472.0,1866092.0,3832808.0,1920838.0,0.0,1089266.0,216362,25920,13112,12808,216362,25920,13112,12814,216362,25600,12800,12804,216362,25680,12876,12804,216362,25920,13112,12812,216362,25680,12876,12804,216362,26320,13500,12831,216362,26400,13584,12816,216362,25920,13112,12808,216362,25920,13112,12812,216362,25600,12800,12804,216362,25680,12876,12804,216362,25920,13112,12812,216362,25680,12876,12805,216362,26320,13500,12832,216362,26400,13584,12816,216362,0,216362,77,865448,345854,89381,3985537112218692,3985600479242372,3985600479253949,3985537112789445
6,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,6,41627,41627,303104,256,64000,0,128,352,112,64,0x0,0x719db6817980,13601792,100780488,8060769392,56832,265216,13336576,14252800,0,355304235.0,13601792.0,476387993.0,257351403.0,639913274.0,484823444.0,1179592.0,6503335.0,16947147,4658272,3713773,944524,16947147,4658255,3713693,944568,16947147,4658112,3713633,944497,16947147,4658096,3713362,944773,16947147,4658400,3713704,944707,16947147,4658240,3713470,944770,16947147,4658304,3713838,944486,16947147,4658288,3713564,944745,16947147,4658272,3713407,944891,16947147,4658256,3713329,944933,16947147,4658112,3713334,944799,16947147,4658096,3713096,945043,16947147,4658400,3713666,944744,16947147,4658240,3713398,944842,16947147,4658304,3713256,945070,16947147,4658288,3712981,945326,16947147,0,16947147,78,67788588,67302822,16829341,3985537203302286,3985600568206057,3985600569423053,3985537205325526
7,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,7,41627,41627,303104,256,64000,0,128,352,112,64,0x0,0x719db6817980,13601792,79045120,6321941720,56832,265216,13336576,14252800,0,324446200.0,13601792.0,430030890.0,210834962.0,627654254.0,438872328.0,1067149.0,7156022.0,17804884,4658272,3773904,884424,17804884,4658256,3773936,884334,17804884,4658112,3773758,884362,17804884,4658096,3773770,884357,17804884,4658240,3773927,884353,17804884,4658600,3774332,884296,17804884,4658304,3774000,884337,17804884,4658288,3774041,884264,17804884,4658272,3773946,884377,17804884,4658256,3773947,884322,17804884,4658112,3773805,884317,17804884,4658096,3773850,884272,17804884,4658240,3773887,884398,17804884,4658600,3774264,884368,17804884,4658304,3773994,884344,17804884,4658288,3773939,884366,17804884,0,17804884,15993,71219536,66010548,16505648,3985537204169348,3985600569423053,3985600570876317,3985537207834564
8,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,8,41627,41627,303104,256,64000,0,128,352,112,64,0x0,0x719db6817980,13601792,75559858,6042900052,56832,265216,13336576,14252800,0,321137276.0,13601792.0,425076569.0,205851366.0,627665963.0,433958587.0,1115595.0,7140339.0,16998019,4658272,3772756,885567,16998019,4658256,3772958,885314,16998019,4658112,3772640,885496,16998019,4658096,3772900,885243,16998019,4658240,3772738,885539,16998019,4658600,3773285,885327,16998019,4658304,3772846,885496,16998019,4658288,3773019,885288,16998019,4658272,3772879,885449,16998019,4658256,3773069,885203,16998019,4658112,3772740,885392,16998019,4658096,3772919,885235,16998019,4658240,3772805,885472,16998019,4658640,3773441,885209,16998019,4658304,3772870,885474,16998019,4658288,3773109,885196,16998019,0,16998019,10641,67992076,66013586,16506362,3985537204712200,3985600570876317,3985600573097956,3985537209991070
9,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,9,41627,41627,303104,256,64000,0,128,352,112,64,0x0,0x719db6817980,13601792,76172125,6091822504,56832,265216,13336576,14252800,0,322855156.0,13601792.0,428971524.0,209743386.0,628509590.0,437841503.0,1115084.0,5145474.0,17326602,4658272,3770951,887367,17326602,4658256,3771026,887249,17326602,4658112,3770679,887441,17326602,4658096,3770790,887332,17326602,4658240,3770852,887432,17326602,4658240,3771009,887261,17326602,4658704,3771137,887602,17326602,4658288,3770870,887436,17326602,4658272,3770925,887394,17326602,4658256,3771040,887234,17326602,4658112,3770646,887475,17326602,4658096,3770753,887376,17326602,4658240,3770839,887446,17326602,4658240,3771008,887265,17326602,4658704,3771173,887565,17326602,4658288,3770857,887452,17326602,0,17326602,8010,69306408,66102380,16528575,3985537205214762,3985600573097956,3985600574918242,3985537212151122
