Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum,TCP_VOLATILE_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCC_EA0_RDREQ[0],TCC_EA0_RDREQ_32B[0],TCC_EA0_WRREQ[0],TCC_EA0_WRREQ_64B[0],TCC_EA0_RDREQ[1],TCC_EA0_RDREQ_32B[1],TCC_EA0_WRREQ[1],TCC_EA0_WRREQ_64B[1],TCC_EA0_RDREQ[2],TCC_EA0_RDREQ_32B[2],TCC_EA0_WRREQ[2],TCC_EA0_WRREQ_64B[2],TCC_EA0_RDREQ[3],TCC_EA0_RDREQ_32B[3],TCC_EA0_WRREQ[3],TCC_EA0_WRREQ_64B[3],TCC_EA0_RDREQ[4],TCC_EA0_RDREQ_32B[4],TCC_EA0_WRREQ[4],TCC_EA0_WRREQ_64B[4],TCC_EA0_RDREQ[5],TCC_EA0_RDREQ_32B[5],TCC_EA0_WRREQ[5],TCC_EA0_WRREQ_64B[5],TCC_EA0_RDREQ[6],TCC_EA0_RDREQ_32B[6],TCC_EA0_WRREQ[6],TCC_EA0_WRREQ_64B[6],TCC_EA0_RDREQ[7],TCC_EA0_RDREQ_32B[7],TCC_EA0_WRREQ[7],TCC_EA0_WRREQ_64B[7],TCC_EA0_RDREQ[8],TCC_EA0_RDREQ_32B[8],TCC_EA0_WRREQ[8],TCC_EA0_WRREQ_64B[8],TCC_EA0_RDREQ[9],TCC_EA0_RDREQ_32B[9],TCC_EA0_WRREQ[9],TCC_EA0_WRREQ_64B[9],TCC_EA0_RDREQ[10],TCC_EA0_RDREQ_32B[10],TCC_EA0_WRREQ[10],TCC_EA0_WRREQ_64B[10],TCC_EA0_RDREQ[11],TCC_EA0_RDREQ_32B[11],TCC_EA0_WRREQ[11],TCC_EA0_WRREQ_64B[11],TCC_EA0_RDREQ[12],TCC_EA0_RDREQ_32B[12],TCC_EA0_WRREQ[12],TCC_EA0_WRREQ_64B[12],TCC_EA0_RDREQ[13],TCC_EA0_RDREQ_32B[13],TCC_EA0_WRREQ[13],TCC_EA0_WRREQ_64B[13],TCC_EA0_RDREQ[14],TCC_EA0_RDREQ_32B[14],TCC_EA0_WRREQ[14],TCC_EA0_WRREQ_64B[14],TCC_EA0_RDREQ[15],TCC_EA0_RDREQ_32B[15],TCC_EA0_WRREQ[15],TCC_EA0_WRREQ_64B[15],CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,GRBM_COUNT,GRBM_GUI_ACTIVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,2,0,3,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,183,14584,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,62964,7930,0,107772,0,16,128150,128150,1930621186128114,1930750760057048,1930750760060173,1930621195206201
1,__amd_rocclr_copyBuffer.kd,2,0,11,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,176,14236,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,62832,7923,0,106716,0,16,129661,129661,1930621243100015,1930750806566020,1930750806568784,1930621243844254
2,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,14,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23263194,1861219756,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1162206,0,140009,139490,1162148,0,139891,139361,1162392,0,139985,139493,1162352,0,139852,139331,1162233,0,139966,139446,1162272,0,139788,139248,1162290,0,139993,139479,1162286,0,139849,139280,1162291,0,139931,139455,1162376,0,139716,139231,1162255,0,139893,139432,1162220,0,139662,139178,1162274,0,139892,139407,1162273,0,139639,139147,1162220,0,139978,139485,1162282,0,139683,139170,1098470,957,0,72025896,66599846,72049,72045603,72045603,1930621245930606,1930750807414393,1930750811927618,1930621251143154
3,__amd_rocclr_copyBuffer.kd,2,0,20,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,194,14404,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63057,7926,0,107290,0,16,130351,130351,1930621255642158,1930750814881742,1930750814884986,1930621256304366
4,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,23,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23287257,1863115940,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1166025,0,139494,139108,1165829,0,139476,139049,1166146,0,139519,139134,1165948,0,139375,138979,1166122,0,139530,139131,1165768,0,139299,138894,1166196,0,139548,139149,1166000,0,139323,138910,1166211,0,139530,139168,1166000,0,139476,139094,1166051,0,139466,139116,1165889,0,139418,139046,1166260,0,139529,139139,1165961,0,139377,138990,1166114,0,139497,139105,1165810,0,139411,139007,1104831,8220,0,72197513,66752135,69697,72219120,72219120,1930621257181562,1930750814909382,1930750819351463,1930621262573155
5,__amd_rocclr_copyBuffer.kd,2,0,29,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,229,18292,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,62915,7928,0,107476,0,16,130192,130192,1930621267272826,1930750822513053,1930750822515937,1930621267891730
6,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,32,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23299114,1863452348,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1152665,0,140170,139679,1152588,0,140287,139778,1152916,0,140274,139738,1152773,0,140339,139805,1152888,0,140130,139627,1152725,0,140289,139761,1152915,0,140139,139648,1152858,0,140350,139794,1152991,0,140102,139651,1152959,0,140394,139882,1152785,0,140118,139648,1152858,0,140418,139912,1152774,0,140089,139601,1152851,0,140304,139783,1152743,0,140093,139608,1152763,0,140378,139825,1127111,8218,0,72232641,66669213,65284,72256404,72256404,1930621269055919,1930750822545414,1930750826975597,1930621274702879
7,__amd_rocclr_copyBuffer.kd,2,0,38,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,216,17252,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63737,7929,0,108994,0,16,132174,132174,1930621279437111,1930750830129414,1930750830132699,1930621280079299
8,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,41,4316,4316,2097152,512,32768,0,4,132,32,64,0x0,0x745290de60c0,32768,116064256,23305657,1865262560,0,0,33554432,33554432,0.0,0.0,0.0,1048576.0,1358954496.0,1358954496.0,1342177280.0,16777216.0,1113253,0,138754,138422,1113118,0,139072,138744,1113367,0,138737,138406,1113238,0,139070,138754,1113405,0,138687,138361,1113152,0,139029,138708,1113394,0,138716,138374,1113244,0,139054,138730,1113395,0,138837,138469,1113206,0,139062,138722,1113313,0,138807,138458,1113163,0,139000,138676,1113602,0,138841,138469,1113467,0,139021,138687,1113334,0,138797,138432,1113239,0,139067,138703,1111176,8411,0,72071114,66575417,65739,72093010,72093010,1930621281245582,1930750830155253,1930750834589562,1930621286855697
9,__amd_rocclr_copyBuffer.kd,2,0,47,4316,4316,1024,512,0,0,16,0,32,64,0x0,0x745291833a80,16,160,204,16364,0,0,0,0,0.0,0.0,0.0,16.0,2048.0,2048.0,1024.0,1024.0,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,16,0,16,16,12,0,16,16,9,0,16,16,8,0,16,16,16,0,16,16,12,0,16,16,12,0,16,16,12,0,16,16,63268,8202,0,108062,0,16,131042,131042,1930621291581246,1930750837723791,1930750837727156,1930621292227521
