Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,TA_BUFFER_READ_WAVEFRONTS_sum,TA_BUFFER_WRITE_WAVEFRONTS_sum,TD_SPI_STALL_sum,TD_LOAD_WAVEFRONT_sum,TCP_READ_TAGCONFLICT_STALL_CYCLES_sum,TCP_WRITE_TAGCONFLICT_STALL_CYCLES_sum,TCP_ATOMIC_TAGCONFLICT_STALL_CYCLES_sum,TCP_TA_TCP_STATE_READ_sum,TCC_REQ[0],TCC_READ[0],TCC_WRITE[0],TCC_ATOMIC[0],TCC_REQ[1],TCC_READ[1],TCC_WRITE[1],TCC_ATOMIC[1],TCC_REQ[2],TCC_READ[2],TCC_WRITE[2],TCC_ATOMIC[2],TCC_REQ[3],TCC_READ[3],TCC_WRITE[3],TCC_ATOMIC[3],TCC_REQ[4],TCC_READ[4],TCC_WRITE[4],TCC_ATOMIC[4],TCC_REQ[5],TCC_READ[5],TCC_WRITE[5],TCC_ATOMIC[5],TCC_REQ[6],TCC_READ[6],TCC_WRITE[6],TCC_ATOMIC[6],TCC_REQ[7],TCC_READ[7],TCC_WRITE[7],TCC_ATOMIC[7],TCC_REQ[8],TCC_READ[8],TCC_WRITE[8],TCC_ATOMIC[8],TCC_REQ[9],TCC_READ[9],TCC_WRITE[9],TCC_ATOMIC[9],TCC_REQ[10],TCC_READ[10],TCC_WRITE[10],TCC_ATOMIC[10],TCC_REQ[11],TCC_READ[11],TCC_WRITE[11],TCC_ATOMIC[11],TCC_REQ[12],TCC_READ[12],TCC_WRITE[12],TCC_ATOMIC[12],TCC_REQ[13],TCC_READ[13],TCC_WRITE[13],TCC_ATOMIC[13],TCC_REQ[14],TCC_READ[14],TCC_WRITE[14],TCC_ATOMIC[14],TCC_REQ[15],TCC_READ[15],TCC_WRITE[15],TCC_ATOMIC[15],CPC_CPC_TCIU_BUSY,CPC_CPC_TCIU_IDLE,CPF_CPF_TCIU_BUSY,CPF_CPF_TCIU_STALL,SPI_CSN_NUM_THREADGROUPS,SPI_CSN_WAVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,2,0,3,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,270,22096,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,27,11,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,132552,22718,0,2,16,1930639815012567,1930750760057048,1930750760060173,1930639823949566
1,__amd_rocclr_copyBuffer.kd,2,0,11,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,292,23072,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,132456,22834,0,2,16,1930639871620451,1930750806566020,1930750806568784,1930639872376858
2,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,14,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2731456,218494688,532185088,391905280,0,0,0,0.0,0.0,1583.0,22020096.0,0.0,0.0,0.0,22020096.0,4525830,4263686,262144,0,4525824,4263680,262144,0,4525841,4263697,262144,0,4525828,4263684,262144,0,4525269,4263125,262144,0,4525288,4263144,262144,0,4525543,4263399,262144,0,4525192,4263048,262144,0,4525831,4263687,262144,0,4525824,4263680,262144,0,4525843,4263699,262144,0,4525828,4263684,262144,0,4525268,4263124,262144,0,4525286,4263142,262144,0,4525552,4263408,262144,0,4525192,4263048,262144,0,1186,71969346,20483,0,4096,32768,1930639874399646,1930750807414393,1930750811927618,1930639879582731
3,__amd_rocclr_copyBuffer.kd,2,0,20,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,282,23728,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,132032,22918,0,2,16,1930639884041626,1930750814881742,1930750814884986,1930639884681632
4,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,23,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2717212,217347720,532185088,391905280,0,0,0,0.0,0.0,1453.0,22020096.0,0.0,0.0,0.0,22020096.0,4525783,4263639,262144,0,4525776,4263632,262144,0,4525794,4263650,262144,0,4525780,4263636,262144,0,4525228,4263084,262144,0,4525245,4263101,262144,0,4525495,4263351,262144,0,4525138,4262994,262144,0,4525783,4263639,262144,0,4525776,4263632,262144,0,4525797,4263653,262144,0,4525780,4263636,262144,0,4525227,4263083,262144,0,4525241,4263097,262144,0,4525496,4263352,262144,0,4525142,4262998,262144,0,1186,72019444,21012,0,4096,32768,1930639885778702,1930750814909382,1930750819351463,1930639891368848
5,__amd_rocclr_copyBuffer.kd,2,0,29,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,294,23808,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,133794,23093,0,2,16,1930639895963775,1930750822513053,1930750822515937,1930639896609829
6,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,32,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2695112,215562608,532185088,391905280,0,0,0,0.0,0.0,1491.0,22020096.0,0.0,0.0,0.0,22020096.0,4525830,4263686,262144,0,4525824,4263680,262144,0,4525844,4263700,262144,0,4525828,4263684,262144,0,4525275,4263131,262144,0,4525291,4263147,262144,0,4525540,4263396,262144,0,4525195,4263051,262144,0,4525829,4263685,262144,0,4525824,4263680,262144,0,4525843,4263699,262144,0,4525828,4263684,262144,0,4525277,4263133,262144,0,4525290,4263146,262144,0,4525539,4263395,262144,0,4525198,4263054,262144,0,1186,72209526,24356,0,4096,32768,1930639897774158,1930750822545414,1930750826975597,1930639903389051
7,__amd_rocclr_copyBuffer.kd,2,0,38,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,312,24256,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,130262,22379,0,2,16,1930639907988714,1930750830129414,1930750830132699,1930639908609270
8,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,41,4684,4684,2097152,512,32768,0,4,132,32,64,0x0,0x76a4e45060c0,2195456,2721564,217871016,532185088,391905280,0,0,0,0.0,0.0,1565.0,22020096.0,0.0,0.0,0.0,22020096.0,4525800,4263656,262144,0,4525794,4263650,262144,0,4525812,4263668,262144,0,4525800,4263656,262144,0,4525248,4263104,262144,0,4525263,4263119,262144,0,4525513,4263369,262144,0,4525163,4263019,262144,0,4525801,4263657,262144,0,4525796,4263652,262144,0,4525813,4263669,262144,0,4525800,4263656,262144,0,4525247,4263103,262144,0,4525260,4263116,262144,0,4525513,4263369,262144,0,4525163,4263019,262144,0,1186,72059291,23151,0,4096,32768,1930639909769113,1930750830155253,1930750834589562,1930639915349705
9,__amd_rocclr_copyBuffer.kd,2,0,47,4684,4684,1024,512,0,0,16,0,32,64,0x0,0x76a4e501ba80,32,308,24272,752,256,0,0,0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,32,16,16,0,28,12,16,0,24,8,16,0,28,12,16,0,32,16,16,0,30,14,16,0,28,12,16,0,28,12,16,0,1394,123207,22622,0,2,16,1930639919956139,1930750837723791,1930750837727156,1930639920596545
