Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM_WR,SQ_INSTS_VMEM_RD,SQ_INSTS_SALU,SQ_INSTS_VSKIPPED,TA_TA_BUSY_sum,TA_BUFFER_WAVEFRONTS_sum,TD_TD_BUSY_sum,TD_TC_STALL_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TD_TCP_STALL_CYCLES_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCC_CYCLE[0],TCC_RW_REQ[0],TCC_HIT[0],TCC_MISS[0],TCC_CYCLE[1],TCC_RW_REQ[1],TCC_HIT[1],TCC_MISS[1],TCC_CYCLE[2],TCC_RW_REQ[2],TCC_HIT[2],TCC_MISS[2],TCC_CYCLE[3],TCC_RW_REQ[3],TCC_HIT[3],TCC_MISS[3],TCC_CYCLE[4],TCC_RW_REQ[4],TCC_HIT[4],TCC_MISS[4],TCC_CYCLE[5],TCC_RW_REQ[5],TCC_HIT[5],TCC_MISS[5],TCC_CYCLE[6],TCC_RW_REQ[6],TCC_HIT[6],TCC_MISS[6],TCC_CYCLE[7],TCC_RW_REQ[7],TCC_HIT[7],TCC_MISS[7],TCC_CYCLE[8],TCC_RW_REQ[8],TCC_HIT[8],TCC_MISS[8],TCC_CYCLE[9],TCC_RW_REQ[9],TCC_HIT[9],TCC_MISS[9],TCC_CYCLE[10],TCC_RW_REQ[10],TCC_HIT[10],TCC_MISS[10],TCC_CYCLE[11],TCC_RW_REQ[11],TCC_HIT[11],TCC_MISS[11],TCC_CYCLE[12],TCC_RW_REQ[12],TCC_HIT[12],TCC_MISS[12],TCC_CYCLE[13],TCC_RW_REQ[13],TCC_HIT[13],TCC_MISS[13],TCC_CYCLE[14],TCC_RW_REQ[14],TCC_HIT[14],TCC_MISS[14],TCC_CYCLE[15],TCC_RW_REQ[15],TCC_HIT[15],TCC_MISS[15],CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,SPI_CSN_WINDOW_VALID,SPI_CSN_BUSY,GRBM_SPI_BUSY,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,2,0,3,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,717,57476,0,16,16,304,0,2124.0,0.0,7362.0,7041.0,1086516.0,7474.0,0.0,0.0,128196,20,10,18,128196,20,10,19,128196,20,10,18,128196,20,10,18,128196,16,8,16,128196,18,10,20,128196,20,10,22,128196,20,10,18,128196,20,10,18,128196,20,10,19,128196,20,10,18,128196,20,10,18,128196,16,8,16,128196,18,10,20,128196,20,10,22,128196,20,10,18,128196,0,128196,0,506056,42704,22408,1930649139938391,1930750760057048,1930750760060173,1930649148861529
1,__amd_rocclr_copyBuffer.kd,2,0,11,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,721,58016,0,16,16,304,0,2319.0,0.0,7610.0,7284.0,1079260.0,7720.0,1.0,0.0,131978,20,10,18,131978,20,10,19,131978,20,10,18,131978,20,10,18,131978,16,8,16,131978,18,10,20,131978,20,10,22,131978,20,10,18,131978,20,10,18,131978,20,10,19,131978,20,10,18,131978,20,10,18,131978,16,8,16,131978,18,10,20,131978,20,10,22,131978,20,10,18,131978,0,131978,0,527912,49672,22627,1930649197315873,1930750806566020,1930750806568784,1930649198038810
2,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,14,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192402114,15389375396,0,1048576,20971520,38273024,0,547628047.0,0.0,823299681.0,468729951.0,2729194731.0,868667928.0,491014.0,259573.0,71904342,4525184,3322370,1202834,71904342,4525504,3323009,1202508,71904342,4525264,3322335,1202943,71904342,4525184,3322547,1202656,71904342,4525904,3322888,1203020,71904342,4525824,3323084,1202740,71904342,4525824,3322949,1202891,71904342,4525824,3323170,1202664,71904342,4525184,3322354,1202853,71904342,4525504,3322878,1202641,71904342,4525264,3322363,1202915,71904342,4525184,3322581,1202622,71904342,4525904,3322990,1202918,71904342,4525824,3323334,1202490,71904342,4525824,3322867,1202973,71904342,4525824,3323190,1202646,71904342,0,71904342,78,287617368,287236382,71812203,1930649200051753,1930750807414393,1930750811927618,1930649205195140
3,__amd_rocclr_copyBuffer.kd,2,0,20,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,754,60536,0,16,16,304,0,2603.0,0.0,7890.0,7568.0,1092376.0,8000.0,3.0,0.0,132766,20,10,18,132766,20,10,19,132766,20,10,18,132766,20,10,18,132766,16,8,16,132766,18,10,20,132766,20,10,22,132766,20,10,18,132766,20,10,18,132766,20,10,19,132766,20,10,18,132766,20,10,18,132766,16,8,16,132766,18,10,20,132766,20,10,22,132766,20,10,18,132766,0,132766,0,531064,50019,22999,1930649209681085,1930750814881742,1930750814884986,1930649210310705
4,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,23,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,194376987,15547134884,0,1048576,20971520,38273024,0,551380840.0,0.0,829912322.0,475346424.0,2736932901.0,875262190.0,491147.0,180743.0,72118792,4525132,3317032,1208121,72118792,4525452,3317097,1208364,72118792,4525210,3316932,1208291,72118792,4525132,3316661,1208496,72118792,4525852,3317626,1208237,72118792,4525772,3317307,1208481,72118792,4525772,3317459,1208329,72118792,4525772,3317175,1208609,72118792,4525131,3316815,1208338,72118792,4525451,3316932,1208527,72118792,4525212,3317062,1208163,72118792,4525132,3316862,1208295,72118792,4525852,3317541,1208321,72118792,4525772,3317295,1208495,72118792,4525772,3317491,1208298,72118792,4525772,3317304,1208478,72118792,0,72118792,77,288475168,288050930,72015778,1930649211458600,1930750814909382,1930750819351463,1930649217023990
5,__amd_rocclr_copyBuffer.kd,2,0,29,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,736,59156,0,16,16,304,0,2433.0,0.0,7694.0,7367.0,1080970.0,7807.0,2.0,0.0,133464,20,10,18,133464,20,10,19,133464,20,10,18,133464,20,10,18,133464,16,8,16,133464,18,10,20,133464,20,10,22,133464,20,10,18,133464,20,10,18,133464,20,10,19,133464,20,10,18,133464,20,10,18,133464,16,8,16,133464,18,10,20,133464,20,10,22,133464,20,10,18,133464,0,133464,0,533856,49861,22853,1930649221643112,1930750822513053,1930750822515937,1930649222271530
6,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,32,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192976904,15435322920,0,1048576,20971520,38273024,0,551132562.0,0.0,828066823.0,473484618.0,2738279821.0,873433562.0,491663.0,125690.0,72154593,4525184,3359095,1166106,72154593,4525504,3359503,1166013,72154593,4525264,3359057,1166220,72154593,4525184,3359017,1166183,72154593,4525904,3359869,1166040,72154593,4525824,3360029,1165811,72154593,4525824,3359656,1166186,72154593,4525824,3359832,1166003,72154593,4525184,3358968,1166233,72154593,4525504,3359427,1166090,72154593,4525264,3359302,1165976,72154593,4525184,3359313,1165888,72154593,4525904,3359826,1166082,72154593,4525824,3359882,1165959,72154593,4525824,3359818,1166026,72154593,4525824,3360075,1165758,72154593,0,72154593,0,288618372,288192706,72051223,1930649223425254,1930750822545414,1930750826975597,1930649228990223
7,__amd_rocclr_copyBuffer.kd,2,0,38,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,743,59368,0,16,16,304,0,2453.0,0.0,7774.0,7441.0,1091946.0,7885.0,2.0,0.0,130548,20,10,18,130548,20,10,19,130548,20,10,18,130548,20,10,18,130548,16,8,16,130548,18,10,20,130548,20,10,22,130548,20,10,18,130548,20,10,18,130548,20,10,19,130548,20,10,18,130548,20,10,18,130548,16,8,16,130548,18,10,20,130548,20,10,22,130548,20,10,18,130548,0,130548,0,522192,49975,22970,1930649233545391,1930750830129414,1930750830132699,1930649234130134
8,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,41,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193714949,15494493724,0,1048576,20971520,38273024,0,552360200.0,0.0,830524215.0,475953873.0,2738800789.0,875879642.0,493642.0,263991.0,72166506,4525140,3321439,1203719,72166506,4525460,3321974,1203499,72166506,4525220,3321703,1203529,72166506,4525140,3321722,1203439,72166506,4525860,3322227,1203638,72166506,4525780,3322158,1203638,72166506,4525780,3322282,1203517,72166506,4525780,3322198,1203592,72166506,4525140,3321625,1203534,72166506,4525460,3322099,1203376,72166506,4525219,3321559,1203672,72166506,4525139,3321637,1203521,72166506,4525860,3322450,1203414,72166506,4525780,3322411,1203387,72166506,4525780,3322165,1203637,72166506,4525780,3322302,1203487,72166506,0,72166506,0,288666024,288247526,72065030,1930649235312891,1930750830155253,1930750834589562,1930649240845162
9,__amd_rocclr_copyBuffer.kd,2,0,47,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,738,58780,0,16,16,304,0,2449.0,0.0,7658.0,7331.0,1081411.0,7769.0,2.0,0.0,131455,20,10,18,131455,20,10,19,131455,20,10,18,131455,20,10,18,131455,16,8,16,131455,18,10,20,131455,20,10,22,131455,20,10,18,131455,20,10,18,131455,20,10,19,131455,20,10,18,131455,20,10,18,131455,16,8,16,131455,18,10,20,131455,20,10,22,131455,20,10,18,131455,0,131455,0,525820,49911,22898,1930649245446197,1930750837723791,1930750837727156,1930649246039984
