Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCP_UTCL1_TRANSLATION_MISS_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCC_TAG_STALL[0],TCC_BUBBLE[0],TCC_TOO_MANY_EA_WRREQS_STALL[0],TCC_TAG_STALL[1],TCC_BUBBLE[1],TCC_TOO_MANY_EA_WRREQS_STALL[1],TCC_TAG_STALL[2],TCC_BUBBLE[2],TCC_TOO_MANY_EA_WRREQS_STALL[2],TCC_TAG_STALL[3],TCC_BUBBLE[3],TCC_TOO_MANY_EA_WRREQS_STALL[3],TCC_TAG_STALL[4],TCC_BUBBLE[4],TCC_TOO_MANY_EA_WRREQS_STALL[4],TCC_TAG_STALL[5],TCC_BUBBLE[5],TCC_TOO_MANY_EA_WRREQS_STALL[5],TCC_TAG_STALL[6],TCC_BUBBLE[6],TCC_TOO_MANY_EA_WRREQS_STALL[6],TCC_TAG_STALL[7],TCC_BUBBLE[7],TCC_TOO_MANY_EA_WRREQS_STALL[7],TCC_TAG_STALL[8],TCC_BUBBLE[8],TCC_TOO_MANY_EA_WRREQS_STALL[8],TCC_TAG_STALL[9],TCC_BUBBLE[9],TCC_TOO_MANY_EA_WRREQS_STALL[9],TCC_TAG_STALL[10],TCC_BUBBLE[10],TCC_TOO_MANY_EA_WRREQS_STALL[10],TCC_TAG_STALL[11],TCC_BUBBLE[11],TCC_TOO_MANY_EA_WRREQS_STALL[11],TCC_TAG_STALL[12],TCC_BUBBLE[12],TCC_TOO_MANY_EA_WRREQS_STALL[12],TCC_TAG_STALL[13],TCC_BUBBLE[13],TCC_TOO_MANY_EA_WRREQS_STALL[13],TCC_TAG_STALL[14],TCC_BUBBLE[14],TCC_TOO_MANY_EA_WRREQS_STALL[14],TCC_TAG_STALL[15],TCC_BUBBLE[15],TCC_TOO_MANY_EA_WRREQS_STALL[15],TCC_CYCLE_sum,CPC_ME1_BUSY_FOR_PACKET_DECODE,CPC_CPC_UTCL2IU_STALL,SPI_RA_WAVE_SIMD_FULL_CSN,SPI_RA_VGPR_SIMD_FULL_CSN,GRBM_COUNT,GRBM_GUI_ACTIVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,2,0,3,5052,5052,1024,512,0,0,16,0,32,64,0x0,0x725089093a80,526285,16,17669,9036,0,71064,16,176,101.0,32.0,4.0,330.0,0.0,512.0,205,8,0,184,8,0,0,8,0,0,8,0,169,8,0,178,8,0,0,8,0,188,8,0,205,8,0,183,8,0,0,8,0,0,8,0,169,8,0,178,8,0,0,8,0,187,8,0,2091776.0,95739,0,0,0,130736,130736,1930658395082651,1930750760057048,1930750760060173,1930658403989636
1,__amd_rocclr_copyBuffer.kd,2,0,11,5052,5052,1024,512,0,0,16,0,32,64,0x0,0x725089093a80,518929,16,18558,9464,0,74648,16,176,108.0,32.0,4.0,330.0,0.0,512.0,206,8,0,183,8,0,0,8,0,0,8,0,170,8,0,179,8,0,0,8,0,188,8,0,204,8,0,187,8,0,0,8,0,0,8,0,168,8,0,178,8,0,0,8,0,187,8,0,2063056.0,93913,0,0,0,128941,128941,1930658451854048,1930750806566020,1930750806568784,1930658452501544
2,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,14,5052,5052,2097152,512,32768,0,4,132,32,64,0x0,0x7250890560c0,287918981,32768,5248647683,287507356,0,20995315736,30146560,21299200,158628473.0,22020096.0,266544.0,339453536.0,0.0,339738624.0,8870,1159016,0,11467,1159191,0,8470,1158931,0,11598,1158968,0,2067,1159044,0,2319,1159107,0,2003,1158976,0,2261,1159095,0,9331,1158686,0,12340,1158874,0,10581,1158601,0,10945,1158884,0,1551,1158772,0,2324,1158907,0,1861,1158868,0,2162,1159026,0,1151663296.0,5027727,0,0,2126091925,71978956,71978956,1930658454240192,1930750807414393,1930750811927618,1930658459289519
3,__amd_rocclr_copyBuffer.kd,2,0,20,5052,5052,1024,512,0,0,16,0,32,64,0x0,0x725089093a80,518853,16,18566,9488,0,74772,16,176,126.0,32.0,4.0,330.0,0.0,512.0,206,8,0,184,8,0,0,8,0,0,8,0,169,8,0,179,8,0,0,8,0,188,8,0,206,8,0,183,8,0,0,8,0,0,8,0,169,8,0,179,8,0,0,8,0,188,8,0,2060800.0,93972,0,0,0,128800,128800,1930658463483944,1930750814881742,1930750814884986,1930658464043871
4,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,23,5052,5052,2097152,512,32768,0,4,132,32,64,0x0,0x7250890560c0,288451145,32768,5255243519,287998098,0,21021698536,30146560,21299200,160151744.0,22020096.0,266544.0,339453536.0,0.0,339738624.0,4941,1090965,0,3633,1090906,0,4625,1091206,0,3900,1091126,0,1714,1090925,0,2263,1090900,0,1881,1091080,0,2169,1091002,0,6028,1091206,0,3840,1091172,0,6301,1091100,0,4416,1090983,0,1606,1091173,0,1892,1091054,0,1861,1091021,0,1712,1090893,0,1153790464.0,5137063,0,0,2127387705,72111904,72111904,1930658464981556,1930750814909382,1930750819351463,1930658470524523
5,__amd_rocclr_copyBuffer.kd,2,0,29,5052,5052,1024,512,0,0,16,0,32,64,0x0,0x725089093a80,513141,16,18264,9375,0,73408,16,176,93.0,32.0,4.0,343.0,0.0,512.0,206,8,0,183,8,0,0,8,0,0,8,0,170,8,0,179,8,0,0,8,0,188,8,0,201,8,0,183,8,0,0,8,0,0,8,0,168,8,0,174,8,0,0,8,0,183,8,0,2037568.0,92386,0,0,0,127348,127348,1930658474945672,1930750822513053,1930750822515937,1930658475486201
6,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,32,5052,5052,2097152,512,32768,0,4,132,32,64,0x0,0x7250890560c0,288738435,32768,5263429781,288232559,0,21054444600,30146560,21299200,162244244.0,22020096.0,266544.0,339453536.0,0.0,339738624.0,8075,1171461,0,6129,1171345,0,8094,1171642,0,6861,1171493,0,1875,1171457,0,1596,1171368,0,1813,1171443,0,1713,1171378,0,7643,1171511,0,6415,1171547,0,8811,1171559,0,7388,1171483,0,1496,1171622,0,1535,1171506,0,1775,1171365,0,1652,1171355,0,1154951568.0,4999996,0,0,2132058132,72184473,72184473,1930658476421963,1930750822545414,1930750826975597,1930658481712437
7,__amd_rocclr_copyBuffer.kd,2,0,38,5052,5052,1024,512,0,0,16,0,32,64,0x0,0x725089093a80,517557,16,18455,9511,0,74216,16,176,102.0,32.0,4.0,343.0,0.0,512.0,207,8,0,183,8,0,0,8,0,0,8,0,170,8,0,180,8,0,0,8,0,189,8,0,209,8,0,183,8,0,0,8,0,0,8,0,168,8,0,178,8,0,0,8,0,187,8,0,2064048.0,93413,0,0,0,129003,129003,1930658486117903,1930750830129414,1930750830132699,1930658486625813
8,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,41,5052,5052,2097152,512,32768,0,4,132,32,64,0x0,0x7250890560c0,288593925,32768,5260069392,288142485,0,21041002828,30146560,21299200,161801518.0,22020096.0,266544.0,339453536.0,0.0,339738624.0,7054,1127201,0,6884,1127635,0,7346,1127407,0,7704,1127804,0,1843,1127454,0,1672,1127842,0,1773,1127561,0,1746,1127885,0,7503,1127523,0,9101,1127766,0,7825,1127411,0,8748,1127725,0,1648,1127545,0,1519,1127716,0,1812,1127484,0,1556,1127732,0,1154363680.0,5070439,0,0,2130298174,72147730,72147730,1930658487494646,1930750830155253,1930750834589562,1930658492940540
9,__amd_rocclr_copyBuffer.kd,2,0,47,5052,5052,1024,512,0,0,16,0,32,64,0x0,0x725089093a80,521469,16,18775,9544,0,75320,16,176,67.0,32.0,4.0,330.0,0.0,512.0,205,8,0,184,8,0,0,8,0,0,8,0,169,8,0,178,8,0,0,8,0,188,8,0,201,8,0,183,8,0,0,8,0,0,8,0,169,8,0,174,8,0,0,8,0,184,8,0,2071648.0,94387,0,0,0,129478,129478,1930658497340197,1930750837723791,1930750837727156,1930658497883660
