Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,2,0,3,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750759929990,1930750760057048,1930750760060173,1930750760072099
1,__amd_rocclr_copyBuffer.kd,2,0,11,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750806542807,1930750806566020,1930750806568784,1930750806570248
2,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,14,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750807401015,1930750807414393,1930750811927618,1930750811928021
3,__amd_rocclr_copyBuffer.kd,2,0,20,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750814869916,1930750814881742,1930750814884986,1930750814894613
4,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,23,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750814896285,1930750814909382,1930750819351463,1930750819374099
5,__amd_rocclr_copyBuffer.kd,2,0,29,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750822500677,1930750822513053,1930750822515937,1930750822527286
6,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,32,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750822526044,1930750822545414,1930750826975597,1930750827002576
7,__amd_rocclr_copyBuffer.kd,2,0,38,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750830118238,1930750830129414,1930750830132699,1930750830133281
8,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,41,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750830146100,1930750830155253,1930750834589562,1930750834589953
9,__amd_rocclr_copyBuffer.kd,2,0,47,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750837712596,1930750837723791,1930750837727156,1930750837739305
10,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,50,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750837736541,1930750837756800,1930750842184419,1930750842206303
11,__amd_rocclr_copyBuffer.kd,2,0,56,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750845313772,1930750845325418,1930750845328463,1930750845340212
12,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,59,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750845338209,1930750845357346,1930750849778596,1930750849800519
13,__amd_rocclr_copyBuffer.kd,2,0,65,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750852905766,1930750852916871,1930750852920036,1930750852920608
14,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,68,6892,6892,2097152,512,32768,0,4,132,32,64,0x0,0x7a0186c160c0,1930750852939265,1930750852948197,1930750857388475,1930750857388697
15,__amd_rocclr_copyBuffer.kd,2,0,74,6892,6892,1024,512,0,0,16,0,32,64,0x0,0x7a0186c43a80,1930750860505601,1930750860516415,1930750860519179,1930750860519672
