"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",128,0,0,0,0,0,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"AMD EPYC 9575F 64-Core Processor","CPU","AMD EPYC 9575F 64-Core Processor",""
1,1,"CPU",128,0,128,0,0,0,0,0,0,1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5008,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"AMD EPYC 9575F 64-Core Processor","CPU","AMD EPYC 9575F 64-Core Processor",""
2,2,"GPU",0,1216,0,2147487744,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,29952,0,128,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,9091,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
3,3,"GPU",0,1216,0,2147487784,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,1280,0,136,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,51110,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
4,4,"GPU",0,1216,0,2147487824,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,25856,0,144,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,61326,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
5,5,"GPU",0,1216,0,2147487864,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,5376,0,152,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,2987,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
6,6,"GPU",0,1216,0,2147487904,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,62720,0,160,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,33762,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
7,7,"GPU",0,1216,0,2147487944,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,34048,0,168,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,26567,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
8,8,"GPU",0,1216,0,2147487984,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,58624,0,176,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,20463,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
9,9,"GPU",0,1216,0,2147488024,8,64,0,64,64,8,304,32,32,1,10,4,32,90402,4098,29861,38144,0,184,2,14,8,24,5008,2100,22,166,746037888,9,32,141,1024,4294967295,0,4530544624156065283,43978,1024,1024,1024,4294967295,4294967295,4294967295,"gfx942","AMD","AMD Instinct MI325X","ip discovery"
