Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum,TCP_VOLATILE_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCC_EA0_RDREQ[0],TCC_EA0_RDREQ_32B[0],TCC_EA0_WRREQ[0],TCC_EA0_WRREQ_64B[0],TCC_EA0_RDREQ[1],TCC_EA0_RDREQ_32B[1],TCC_EA0_WRREQ[1],TCC_EA0_WRREQ_64B[1],TCC_EA0_RDREQ[2],TCC_EA0_RDREQ_32B[2],TCC_EA0_WRREQ[2],TCC_EA0_WRREQ_64B[2],TCC_EA0_RDREQ[3],TCC_EA0_RDREQ_32B[3],TCC_EA0_WRREQ[3],TCC_EA0_WRREQ_64B[3],TCC_EA0_RDREQ[4],TCC_EA0_RDREQ_32B[4],TCC_EA0_WRREQ[4],TCC_EA0_WRREQ_64B[4],TCC_EA0_RDREQ[5],TCC_EA0_RDREQ_32B[5],TCC_EA0_WRREQ[5],TCC_EA0_WRREQ_64B[5],TCC_EA0_RDREQ[6],TCC_EA0_RDREQ_32B[6],TCC_EA0_WRREQ[6],TCC_EA0_WRREQ_64B[6],TCC_EA0_RDREQ[7],TCC_EA0_RDREQ_32B[7],TCC_EA0_WRREQ[7],TCC_EA0_WRREQ_64B[7],TCC_EA0_RDREQ[8],TCC_EA0_RDREQ_32B[8],TCC_EA0_WRREQ[8],TCC_EA0_WRREQ_64B[8],TCC_EA0_RDREQ[9],TCC_EA0_RDREQ_32B[9],TCC_EA0_WRREQ[9],TCC_EA0_WRREQ_64B[9],TCC_EA0_RDREQ[10],TCC_EA0_RDREQ_32B[10],TCC_EA0_WRREQ[10],TCC_EA0_WRREQ_64B[10],TCC_EA0_RDREQ[11],TCC_EA0_RDREQ_32B[11],TCC_EA0_WRREQ[11],TCC_EA0_WRREQ_64B[11],TCC_EA0_RDREQ[12],TCC_EA0_RDREQ_32B[12],TCC_EA0_WRREQ[12],TCC_EA0_WRREQ_64B[12],TCC_EA0_RDREQ[13],TCC_EA0_RDREQ_32B[13],TCC_EA0_WRREQ[13],TCC_EA0_WRREQ_64B[13],TCC_EA0_RDREQ[14],TCC_EA0_RDREQ_32B[14],TCC_EA0_WRREQ[14],TCC_EA0_WRREQ_64B[14],TCC_EA0_RDREQ[15],TCC_EA0_RDREQ_32B[15],TCC_EA0_WRREQ[15],TCC_EA0_WRREQ_64B[15],CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,GRBM_COUNT,GRBM_GUI_ACTIVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,0,1432,1432,622592,256,0,0,56,0,48,64,0x0,0x7e0336d4bf80,9728,11696640,2540853,203361104,0,1050624,4210176,4200448,0.0,0.0,0.0,1048576.0,16777216.0,16777216.0,0.0,16777216.0,40,0,131072,131072,32,0,131072,131072,32,0,131072,131072,32,0,131072,131072,40,0,131072,131072,20,0,131072,131072,59,0,131072,131072,49,0,131072,131072,40,0,131072,131072,32,0,131072,131072,32,0,131072,131072,32,0,131072,131072,40,0,131072,131072,20,0,131072,131072,56,0,131072,131072,50,0,131072,131072,200776,9353,0,1384833,97,9825,1423174,1423174,2071930825244833,2072010192658723,2072010192746893,2071930835177841
1,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,1,1432,1432,8388608,256,0,0,20,4,32,64,0x0,0x7dcb12c46d40,131072,2097152,506452,40484988,0,0,524288,0,0.0,0.0,0.0,131072.0,16777216.0,16777216.0,8388608.0,8388608.0,65552,0,131072,131072,65552,0,131072,131072,65561,0,131072,131072,65571,0,131072,131072,65568,0,131072,131072,65564,0,131072,131072,65591,0,131072,131072,65591,0,131072,131072,65552,0,131072,131072,65552,0,131072,131072,65564,0,131072,131072,65575,0,131072,131072,65568,0,131072,131072,65564,0,131072,131072,65591,0,131072,131072,65589,0,131072,131072,45947,957,0,1611403,1220630,978673,1631062,1631062,2071930839942296,2072010198264591,2072010198356086,2071930840654289
2,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,2,1432,1432,622592,256,0,0,56,0,48,64,0x0,0x7e0336d4bf80,9728,11696640,2587068,206879092,0,1050624,4210176,4200448,0.0,0.0,0.0,1048576.0,16777216.0,16777216.0,0.0,16777216.0,40,0,131072,131072,32,0,131072,131072,32,0,131072,131072,32,0,131072,131072,32,0,131072,131072,16,0,131072,131072,48,0,131072,131072,32,0,131072,131072,40,0,131072,131072,32,0,131072,131072,32,0,131072,131072,32,0,131072,131072,32,0,131072,131072,16,0,131072,131072,48,0,131072,131072,32,0,131072,131072,259716,8851,0,1715715,97,9825,1753870,1753870,2071930840649252,2072010198356086,2072010198442294,2071930842456554
3,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,3,1432,1432,8388608,256,0,0,20,4,32,64,0x0,0x7dcb12c46d40,131072,2097152,538497,43082316,0,0,524288,0,0.0,0.0,0.0,131072.0,16777216.0,16777216.0,8388608.0,8388608.0,65573,0,131072,131072,65576,0,131072,131072,65548,0,131072,131072,65552,0,131072,131072,65568,0,131072,131072,65564,0,131072,131072,65603,0,131072,131072,65601,0,131072,131072,65580,0,131072,131072,65576,0,131072,131072,65547,0,131072,131072,65552,0,131072,131072,65568,0,131072,131072,65564,0,131072,131072,65608,0,131072,131072,65599,0,131072,131072,138004,7428,0,1610588,753191,644033,1629955,1629955,2071930841265613,2072010198442294,2072010198529342,2071930844054216
4,__amd_rocclr_fillBufferAligned.kd,2,0,4,1432,1432,77824,256,0,0,12,4,48,64,0x0,0x7e033401ba00,1216,116992,85208,6823288,0,0,0,0,0.0,0.0,0.0,25600.0,1638400.0,1638400.0,0.0,1638400.0,40,0,25600,25600,36,0,25600,25600,4,0,25600,25600,16,0,25600,25600,4,0,25600,25600,0,0,25600,25600,41,0,25600,25600,23,0,25600,25600,40,0,25600,25600,36,0,25600,25600,4,0,25600,25600,16,0,25600,25600,4,0,25600,25600,0,0,25600,25600,40,0,25600,25600,23,0,25600,25600,217826,17209,0,1098550,49,1265,1122717,1122717,2071930842504805,2072010198586066,2072010198596962,2071930845547925
5,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,5,1432,1432,303104,256,64000,0,128,352,112,64,0x0,0x7dcae9c17980,4736,62952832,12655560,1012552948,0,0,47616,0,0.0,217628672.0,0.0,265216.0,870514688.0,870514688.0,853540864.0,16973824.0,880618,0,131072,131072,880393,0,131072,131072,880424,0,131072,131072,880191,0,131072,131072,880611,0,131072,131072,880448,0,131072,131072,880591,0,131072,131072,880330,0,131072,131072,880521,0,131072,131072,880371,0,131072,131072,880361,0,131072,131072,880167,0,131072,131072,880474,0,131072,131072,880244,0,131072,131072,880245,0,131072,131072,880115,0,131072,131072,941644,1653,0,16886894,12636006,26592,16946798,16946798,2071930931872765,2072010287445179,2072010288682128,2071930934037235
6,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,6,1432,1432,303104,256,64000,0,128,352,112,64,0x0,0x7dcae9c17980,4736,62952832,12669994,1013792160,0,0,47616,0,0.0,217628672.0,0.0,265216.0,870514688.0,870514688.0,853540864.0,16973824.0,818777,0,131072,131072,818906,0,131072,131072,818837,0,131072,131072,818851,0,131072,131072,818766,0,131072,131072,818878,0,131072,131072,818760,0,131072,131072,818811,0,131072,131072,818852,0,131072,131072,819021,0,131072,131072,818868,0,131072,131072,819038,0,131072,131072,818844,0,131072,131072,818931,0,131072,131072,818721,0,131072,131072,818834,0,131072,131072,1226218,3263,0,16644525,12322565,16336,17011817,17011817,2071930932781939,2072010288682128,2072010290202575,2071930936428080
7,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,7,1432,1432,303104,256,64000,0,128,352,112,64,0x0,0x7dcae9c17980,4736,62952832,12677603,1014166056,0,0,47616,0,0.0,217628672.0,0.0,265216.0,870514688.0,870514688.0,853540864.0,16973824.0,830086,0,131072,131072,830016,0,131072,131072,829981,0,131072,131072,830012,0,131072,131072,830013,0,131072,131072,830027,0,131072,131072,830205,0,131072,131072,830233,0,131072,131072,829928,0,131072,131072,829951,0,131072,131072,830105,0,131072,131072,830128,0,131072,131072,830133,0,131072,131072,830131,0,131072,131072,830120,0,131072,131072,830125,0,131072,131072,1233855,4958,0,16561005,12327703,22103,16930607,16930607,2071930933386763,2072010290202575,2072010292304603,2071930938713610
8,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,10,1432,1432,303104,256,64000,0,128,352,112,64,0x0,0x7dcae9c17980,4736,62952832,12725016,1018413104,0,0,47616,0,0.0,217628672.0,0.0,265216.0,870514688.0,870514688.0,853540864.0,16973824.0,850881,0,131072,131072,851017,0,131072,131072,850574,0,131072,131072,850677,0,131072,131072,850752,0,131072,131072,850895,0,131072,131072,850504,0,131072,131072,850611,0,131072,131072,850860,0,131072,131072,851035,0,131072,131072,850651,0,131072,131072,850742,0,131072,131072,850850,0,131072,131072,850968,0,131072,131072,850516,0,131072,131072,850665,0,131072,131072,942590,7037,0,17179321,12937062,18527,17239530,17239530,2071930939659879,2072010292388007,2072010294188549,2071930942121319
9,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,14,1432,1432,303104,256,64000,0,128,352,112,64,0x0,0x7dcae9c17980,4736,62952832,12725255,1018030820,0,0,47616,0,0.0,217628672.0,0.0,265216.0,870514688.0,870514688.0,853540864.0,16973824.0,849552,0,131072,131072,849614,0,131072,131072,849636,0,131072,131072,849618,0,131072,131072,849473,0,131072,131072,849552,0,131072,131072,849451,0,131072,131072,849360,0,131072,131072,849546,0,131072,131072,849613,0,131072,131072,849528,0,131072,131072,849537,0,131072,131072,849540,0,131072,131072,849684,0,131072,131072,849580,0,131072,131072,849614,0,131072,131072,946619,7746,0,16730272,12483286,19393,16800052,16800052,2071930943119485,2072010294241467,2072010295886459,2071930945736174
