Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM_WR,SQ_INSTS_VMEM_RD,SQ_INSTS_SALU,SQ_INSTS_VSKIPPED,TA_TA_BUSY_sum,TA_BUFFER_WAVEFRONTS_sum,TD_TD_BUSY_sum,TD_TC_STALL_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TD_TCP_STALL_CYCLES_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCC_CYCLE[0],TCC_RW_REQ[0],TCC_HIT[0],TCC_MISS[0],TCC_CYCLE[1],TCC_RW_REQ[1],TCC_HIT[1],TCC_MISS[1],TCC_CYCLE[2],TCC_RW_REQ[2],TCC_HIT[2],TCC_MISS[2],TCC_CYCLE[3],TCC_RW_REQ[3],TCC_HIT[3],TCC_MISS[3],TCC_CYCLE[4],TCC_RW_REQ[4],TCC_HIT[4],TCC_MISS[4],TCC_CYCLE[5],TCC_RW_REQ[5],TCC_HIT[5],TCC_MISS[5],TCC_CYCLE[6],TCC_RW_REQ[6],TCC_HIT[6],TCC_MISS[6],TCC_CYCLE[7],TCC_RW_REQ[7],TCC_HIT[7],TCC_MISS[7],TCC_CYCLE[8],TCC_RW_REQ[8],TCC_HIT[8],TCC_MISS[8],TCC_CYCLE[9],TCC_RW_REQ[9],TCC_HIT[9],TCC_MISS[9],TCC_CYCLE[10],TCC_RW_REQ[10],TCC_HIT[10],TCC_MISS[10],TCC_CYCLE[11],TCC_RW_REQ[11],TCC_HIT[11],TCC_MISS[11],TCC_CYCLE[12],TCC_RW_REQ[12],TCC_HIT[12],TCC_MISS[12],TCC_CYCLE[13],TCC_RW_REQ[13],TCC_HIT[13],TCC_MISS[13],TCC_CYCLE[14],TCC_RW_REQ[14],TCC_HIT[14],TCC_MISS[14],TCC_CYCLE[15],TCC_RW_REQ[15],TCC_HIT[15],TCC_MISS[15],CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,SPI_CSN_WINDOW_VALID,SPI_CSN_BUSY,GRBM_SPI_BUSY,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,0,2176,2176,622592,256,0,0,56,0,48,64,0x0,0x78c49c01bf80,1048576,4028066,322087052,1070080,1048576,0,5243392,0,24975882.0,0.0,38961824.0,36664034.0,50417954.0,41411998.0,34.0,0.0,1430674,131872,66316,65560,1430674,131712,66160,65552,1430674,131712,66160,65552,1430674,131712,66160,65552,1430674,131712,66160,65560,1430674,131392,65848,65576,1430674,131712,66160,65574,1430674,131712,66160,65552,1430674,131872,66316,65560,1430674,131712,66160,65552,1430674,131712,66160,65552,1430674,131712,66160,65552,1430674,131712,66160,65562,1430674,131392,65848,65575,1430674,131712,66160,65577,1430674,131712,66160,65552,921545,509129,1430674,1224,5715968,5253202,1319962,2071948103631430,2072010192658723,2072010192746893,2071948113139249
1,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,1,2176,2176,8388608,256,0,0,20,4,32,64,0x0,0x788c79446d40,262144,16558651,1324649804,0,131072,131072,1835008,0,32661414.0,0.0,49568835.0,47127269.0,50991396.0,49595381.0,94071.0,43101132.0,1461694,197248,66160,131088,1461694,197328,66236,131092,1461694,197248,66160,131088,1461694,197008,65924,131084,1461694,196608,65536,131083,1461694,196928,65848,131103,1461694,196928,65848,131114,1461694,196928,65848,131103,1461694,197248,66160,131088,1461694,197328,66236,131092,1461694,197248,66160,131088,1461694,197008,65924,131084,1461694,196608,65536,131084,1461694,196928,65848,131107,1461694,196928,65848,131114,1461694,196928,65848,131098,1461694,0,1461694,78,5846776,5320060,1335936,2071948117791839,2072010198264591,2072010198356086,2071948118467077
2,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,2,2176,2176,622592,256,0,0,56,0,48,64,0x0,0x78c49c01bf80,1048576,3882039,310428644,1070080,1048576,0,5243392,0,24421716.0,0.0,38778392.0,36456024.0,50330883.0,41303260.0,2.0,0.0,1920541,131712,66160,65552,1920541,131712,66160,65552,1920541,131872,66316,65556,1920541,131712,66160,65552,1920541,131712,66160,65556,1920541,131392,65848,65552,1920541,131712,66160,65560,1920541,131712,66160,65552,1920541,131712,66160,65552,1920541,131712,66160,65552,1920541,131872,66316,65556,1920541,131712,66160,65552,1920541,131712,66160,65556,1920541,131392,65848,65552,1920541,131712,66160,65560,1920541,131712,66160,65552,1411061,509480,1920541,1338,7682164,5250738,1318160,2071948118441950,2072010198356086,2072010198442294,2071948120248241
3,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,3,2176,2176,8388608,256,0,0,20,4,32,64,0x0,0x788c79446d40,262144,16991538,1359294668,0,131072,131072,1835008,0,33621009.0,0.0,51402028.0,48956025.0,53268039.0,51432850.0,95860.0,44053352.0,2447594,197248,66160,131096,2447594,197248,66160,131088,2447594,197248,66160,131092,2447594,197088,66000,131088,2447594,196608,65536,131105,2447594,196928,65848,131128,2447594,196928,65848,131093,2447594,196928,65848,131080,2447594,197248,66160,131096,2447594,197248,66160,131088,2447594,197248,66160,131092,2447594,197088,66000,131088,2447594,196608,65536,131103,2447594,196928,65848,131129,2447594,196928,65848,131093,2447594,196928,65848,131080,2447594,0,2447594,0,9790376,5559986,1397618,2071948119048987,2072010198442294,2072010198529342,2071948121775509
4,__amd_rocclr_fillBufferAligned.kd,2,0,4,2176,2176,77824,256,0,0,12,4,48,64,0x0,0x78cc9d60ba00,25600,418094,33444632,0,25600,0,310784,0,1554687.0,0.0,2000276.0,1966963.0,4129920.0,2021723.0,0.0,1004338.0,1053501,25920,13112,12812,1053501,25920,13112,12808,1053501,25600,12800,12804,1053501,25680,12876,12804,1053501,26000,13188,12824,1053501,25840,13036,12804,1053501,26240,13424,12816,1053501,26240,13424,12828,1053501,25920,13112,12812,1053501,25920,13112,12808,1053501,25600,12800,12804,1053501,25680,12876,12804,1053501,26000,13188,12824,1053501,25840,13036,12804,1053501,26240,13424,12816,1053501,26240,13424,12828,1053501,0,1053501,0,4214004,377156,97300,2071948120302100,2072010198586066,2072010198596962,2071948123205834
5,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,5,2176,2176,303104,256,64000,0,128,352,112,64,0x0,0x788c78217980,13601792,99847333,7986030316,56832,265216,13336576,14252800,0,352944707.0,13601792.0,471799646.0,252787736.0,638977326.0,480207320.0,1176010.0,2582626.0,16940028,4658304,3693926,964382,16940028,4658288,3693718,964570,16940028,4658240,3693546,964694,16940028,4658240,3693506,964734,16940028,4658112,3693552,964592,16940028,4658096,3693573,964565,16940028,4658432,3693836,964624,16940028,4658256,3693770,964503,16940028,4658304,3693865,964443,16940028,4658288,3693745,964543,16940028,4658240,3693649,964591,16940028,4658240,3693667,964573,16940028,4658112,3693699,964445,16940028,4658096,3693533,964602,16940028,4658432,3693786,964679,16940028,4658256,3693472,964801,16940028,0,16940028,78,67760112,67204260,16804177,2071948208841924,2072010287445179,2072010288682128,2071948210944613
6,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,6,2176,2176,303104,256,64000,0,128,352,112,64,0x0,0x788c78217980,13601792,73764307,5899401936,56832,265216,13336576,14252800,0,318782819.0,13601792.0,422455618.0,203245035.0,626628379.0,431372979.0,1105988.0,6101235.0,17010864,4658304,3775601,882744,17010864,4658288,3775450,882856,17010864,4658240,3775627,882617,17010864,4658240,3775492,882752,17010864,4658112,3775384,882760,17010864,4658096,3775250,882903,17010864,4658272,3775597,882712,17010864,4658576,3775802,882794,17010864,4658304,3775619,882730,17010864,4658288,3775532,882777,17010864,4658240,3775574,882672,17010864,4658240,3775495,882749,17010864,4658112,3775459,882690,17010864,4658096,3775384,882775,17010864,4658272,3775659,882649,17010864,4658576,3775850,882743,17010864,0,17010864,8238,68043456,65902672,16478628,2071948209675837,2072010288682128,2072010290202575,2071948213377250
7,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,7,2176,2176,303104,256,64000,0,128,352,112,64,0x0,0x788c78217980,13601792,73960982,5915090956,56832,265216,13336576,14252800,0,318242061.0,13601792.0,420998165.0,201802844.0,627276432.0,429873059.0,1091385.0,7157995.0,16953418,4658304,3773798,884529,16953418,4658288,3773742,884546,16953418,4658240,3773962,884282,16953418,4658240,3773820,884421,16953418,4658112,3773573,884578,16953418,4658096,3773474,884698,16953418,4658272,3773851,884472,16953418,4658576,3774045,884552,16953418,4658304,3773953,884376,16953418,4658288,3773882,884406,16953418,4658240,3774038,884207,16953418,4658240,3773994,884248,16953418,4658112,3773683,884472,16953418,4658096,3773592,884572,16953418,4658272,3774054,884273,16953418,4658576,3774282,884314,16953418,0,16953418,10317,67813672,65972308,16496479,2071948210261243,2072010290202575,2072010292304603,2071948215629120
8,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,10,2176,2176,303104,256,64000,0,128,352,112,64,0x0,0x788c78217980,13601792,95889654,7669510336,56832,265216,13336576,14252800,0,348606624.0,13601792.0,472161914.0,252975822.0,647701097.0,481344470.0,1157945.0,8379753.0,17235586,4658304,3754700,903631,17235586,4658288,3754673,903633,17235586,4658240,3754387,903853,17235586,4658240,3754238,904006,17235586,4658272,3754603,903702,17235586,4658096,3754410,903716,17235586,4658272,3754473,903815,17235586,4658256,3754390,903885,17235586,4658304,3754515,903816,17235586,4658288,3754542,903765,17235586,4658240,3754344,903896,17235586,4658240,3754360,903884,17235586,4658272,3754782,903523,17235586,4658096,3754580,903545,17235586,4658272,3754477,903813,17235586,4658256,3754359,903916,17235586,0,17235586,77,68942344,68122562,17034000,2071948216416795,2072010292388007,2072010294188549,2071948218583339
9,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,14,2176,2176,303104,256,64000,0,128,352,112,64,0x0,0x788c78217980,13601792,83813555,6703266492,56832,265216,13336576,14252800,0,331812521.0,13601792.0,447338327.0,228128116.0,634259113.0,456276951.0,1125753.0,4134192.0,17283874,4658304,3758146,900166,17283874,4658288,3758123,900165,17283874,4658240,3758145,900095,17283874,4658240,3758095,900145,17283874,4658272,3758141,900167,17283874,4658096,3757961,900186,17283874,4658272,3758204,900097,17283874,4658256,3758147,900127,17283874,4658304,3758083,900230,17283874,4658288,3758055,900233,17283874,4658240,3758105,900135,17283874,4658240,3758006,900234,17283874,4658272,3758128,900182,17283874,4658096,3757919,900229,17283874,4658272,3758082,900218,17283874,4658256,3758045,900228,17283874,0,17283874,0,69135496,66707578,16679948,2071948219692549,2072010294241467,2072010295886459,2071948222176131
