"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,30664448,"; Cijk_Alik_Bljk_BBS_BH_MT256x224x64_MI16x16x16x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS1_ELFLR4_EMLL0_FSSC10_FL0_GLVWA2_GLVWB2_GRCGA1_GRCGB1_GRPM1_GRVWn1_GSU1_GSUASB_GLS0_ISA942_IU1_K1_KLA_LBSPPA256_LBSPPB128_LPA4_LPB4_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFSC_MKFGSU256_NTA0_NTB0_NTC3_NTD3_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_PKA0_SIA3_SLW1_SS1_SU4_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TSGRA0_TSGRB0_TT8_112_TLDS1_UMLDSA1_UMLDSB1_U64SL1_USFGROn1_VAW1_VSn1_VW2_VWB1_VFLRP0_WSGRA0_WSGRB0_WS64_WG32_8_1_WGMn32",0,0,0,0,""
4,30664448,"s_setprio 3",16,64,64,2716,""
4,30664452,"s_load_dwordx16 s[24:39], s[0:1], 0x0",16,64,0,0,""
4,30664460,"s_load_dwordx16 s[40:55], s[0:1], 0x40",16,64,0,0,""
4,30664468,"s_mov_b32 m0, 0xfb00",16,64,0,0,""
4,30664476,"v_mov_b32_e32 v244, v0",16,64,0,0,""
4,30664480,"v_and_b32_e32 v1, 63, v244",16,64,0,0,""
4,30664484,"v_and_b32_e32 v0, 15, v1",16,64,0,0,""
4,30664488,"v_lshlrev_b32_e32 v0, 6, v0",16,64,0,0,""
4,30664492,"v_lshlrev_b32_e32 v0, 1, v0",16,64,0,0,""
4,30664496,"v_lshrrev_b32_e32 v1, 4, v1",16,64,0,0,""
4,30664500,"v_lshlrev_b32_e32 v1, 2, v1",16,64,0,0,""
4,30664504,"v_add_u32_e32 v0, v1, v0",16,64,0,0,""
4,30664508,"v_lshrrev_b32_e32 v2, 6, v244",16,64,0,0,""
4,30664512,"v_and_b32_e32 v1, 1, v2",16,64,0,0,""
4,30664516,"v_lshlrev_b32_e32 v1, 11, v1",16,64,0,0,""
4,30664520,"v_add_u32_e32 v0, v1, v0",16,64,0,0,""
