"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",44,701124479,15934647,65.51598251258103
"hipEventSynchronize",11,331579965,30143633,30.984208709195887
"hipMalloc",33,22119319,670282,2.066921010747082
"hipModuleLoadData",11,9445125,858647,0.8825916978561832
"hipModuleUnload",11,5125403,465945,0.47893893791423353
"hipEventRecord",22,363757,16534,0.03399096446442706
"hipModuleLaunchKernel",11,137678,12516,0.012865203983795195
"hipEventElapsedTime",11,90536,8230,0.008460059761740305
"hipEventDestroy",22,69865,3175,0.0065284756920339585
"hipGetDeviceProperties",11,48154,4377,0.004499709704060734
"hipModuleGetFunction",11,27955,2541,0.0026122312741832005
"hipEventCreate",22,25689,1167,0.0024004868253440256
