"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",111,628008024,5657729,65.4191424079813
"hsa_amd_memory_lock_to_pool",44,254266529,5778784,26.486760733226088
"hsa_queue_create",1,41668203,41668203,4.340546620056679
"hsa_amd_memory_pool_allocate",37,22307624,602908,2.323769084898988
"hsa_executable_destroy",11,4550158,413650,0.47398667342635
"hsa_executable_load_agent_code_object",12,2753555,229462,0.2868358361504135
"hsa_code_object_reader_create_from_memory",12,2291210,190934,0.2386736913358146
"hsa_amd_memory_async_copy",44,1611213,36618,0.16783889483646275
"hsa_executable_freeze",12,979571,81630,0.10204120377246749
"hsa_agent_get_info",64,288947,4514,0.030099400356322473
"hsa_amd_agents_allow_access",4,199519,49879,0.020783750167653943
"hsa_amd_profiling_get_dispatch_time",55,189913,3452,0.01978310008364949
"hsa_signal_load_relaxed",476,135226,284,0.014086394780302488
"hsa_amd_signal_async_handler",22,131937,5997,0.013743782025119203
"hsa_amd_pointer_info",176,131250,745,0.013672217731166355
"hsa_amd_profiling_get_async_copy_time",44,119941,2725,0.012494167366810086
"hsa_signal_create",49,97063,1980,0.010110982625830094
"hsa_executable_create_alt",12,54791,4565,0.005707538908253987
"hsa_executable_iterate_symbols",21,38168,1817,0.003975933000862152
"hsa_isa_get_info_alt",2,21272,10636,0.002215888880589491
"hsa_signal_silent_store_relaxed",77,19303,250,0.0020107795723025078
"hsa_executable_symbol_get_info",219,18714,85,0.0019494238675889309
"hsa_executable_get_symbol_by_name",21,13841,659,0.001441806976130084
"hsa_code_object_reader_destroy",11,12410,1128,0.0012927407393811387
"hsa_signal_store_screlease",33,11739,355,0.0012228431538755188
"hsa_iterate_agents",1,9083,9083,0.0009461695516356876
"hsa_amd_profiling_async_copy_enable",1,8543,8543,0.0008899181415417461
"hsa_queue_load_read_index_relaxed",33,8156,247,0.0008496046309744213
"hsa_signal_destroy",12,7991,665,0.0008324167001123835
"hsa_queue_add_write_index_screlease",33,7942,240,0.0008273124054927481
"hsa_amd_agent_iterate_memory_pools",3,5437,1812,0.0005663683642236302
"hsa_queue_load_read_index_scacquire",33,3526,106,0.0003673008740578481
"hsa_amd_memory_pool_get_info",22,2354,107,0.00024521448029840456
"hsa_amd_agent_memory_pool_get_info",9,810,90,8.437711514091236e-05
"hsa_amd_profiling_set_profiler_enabled",1,631,631,6.573081438755024e-05
"hsa_agent_iterate_isas",1,561,561,5.843896493092819e-05
"hsa_system_get_major_extension_table",1,500,500,5.2084638975871825e-05
"hsa_system_get_info",3,280,93,2.9167397826488224e-05
