"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize",11,842007094,76546099,64.16641365219574
"hipMemcpy",44,446642158,10150958,34.03703563658736
"hipModuleLoadData",11,9606297,873299,0.7320622728243272
"hipMalloc",33,7975229,241673,0.6077642891984796
"hipModuleUnload",11,4992424,453856,0.38045515981264366
"hipEventRecord",22,394250,17920,0.030044412645267058
"hipEventElapsedTime",11,256895,23354,0.019577068830706104
"hipModuleLaunchKernel",11,162214,14746,0.012361761199338872
"hipEventDestroy",22,73451,3338,0.005597443635275867
"hipGetDeviceProperties",11,61611,5601,0.004695158674667213
"hipModuleGetFunction",11,37525,3411,0.002859648914429033
"hipEventCreate",22,14874,676,0.001133495481764622
