"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",111,903160984,8136585,75.2587247705964
"hsa_amd_memory_lock_to_pool",44,233292019,5302091,19.439789982222866
"hsa_queue_create",1,41374863,41374863,3.4476903698246253
"hsa_amd_memory_pool_allocate",37,8376326,226387,0.6979836642531391
"hsa_executable_destroy",11,4415807,401437,0.3679609831917551
"hsa_executable_load_agent_code_object",12,2874764,239563,0.23954873659203463
"hsa_code_object_reader_create_from_memory",12,2317036,193086,0.19307429981670202
"hsa_amd_memory_async_copy",44,1587043,36069,0.13224534103224905
"hsa_executable_freeze",12,967131,80594,0.0805892272092565
"hsa_amd_profiling_get_dispatch_time",55,356845,6488,0.029735230060340463
"hsa_agent_get_info",64,311190,4862,0.025930883836055848
"hsa_amd_signal_async_handler",22,142927,6496,0.011909841042565488
"hsa_amd_agents_allow_access",4,140101,35025,0.011674355719384494
"hsa_signal_load_relaxed",476,135905,285,0.011324710844626017
"hsa_amd_pointer_info",176,132582,753,0.011047811435945746
"hsa_amd_profiling_get_async_copy_time",44,111502,2534,0.009291254248169603
"hsa_signal_create",49,102662,2095,0.008554633492005416
"hsa_executable_create_alt",12,60650,5054,0.005053851681149096
"hsa_executable_iterate_symbols",21,38558,1836,0.0032129664158573263
"hsa_executable_symbol_get_info",219,24771,113,0.0020641213519166407
"hsa_isa_get_info_alt",2,20060,10030,0.0016715624851418114
"hsa_executable_get_symbol_by_name",21,18560,883,0.0015465702753854446
"hsa_signal_silent_store_relaxed",77,18445,239,0.0015369875393041234
"hsa_iterate_agents",1,13460,13460,0.0011215967622137978
"hsa_code_object_reader_destroy",11,13309,1209,0.0011090142130983235
"hsa_signal_destroy",12,10637,886,0.0008863614234523154
"hsa_signal_store_screlease",33,10625,321,0.0008853614857742645
"hsa_queue_add_write_index_screlease",33,10165,308,0.0008470305414489788
"hsa_amd_profiling_async_copy_enable",1,9244,9244,0.0007702853246585696
"hsa_queue_load_read_index_relaxed",33,8737,264,0.0007280379577609176
"hsa_amd_agent_iterate_memory_pools",3,7352,2450,0.0006126284840858722
"hsa_queue_load_read_index_scacquire",33,4235,128,0.00035289467221214215
"hsa_amd_memory_pool_get_info",22,2934,133,0.00024448476228345337
"hsa_amd_profiling_set_profiler_enabled",1,1111,1111,9.257756335954898e-05
"hsa_amd_agent_memory_pool_get_info",9,750,83,6.249610487818337e-05
"hsa_agent_iterate_isas",1,560,560,4.666375830904359e-05
"hsa_system_get_major_extension_table",1,480,480,3.999750712203736e-05
"hsa_system_get_info",3,461,153,3.841427246512338e-05
