"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",111,268017671,2414573,45.34020985963285
"hsa_amd_memory_lock_to_pool",44,241844419,5496464,40.9125139768899
"hsa_executable_freeze",12,32178754,2681562,5.4436390478950925
"hsa_queue_create",1,29628279,29628279,5.012178423264311
"hsa_amd_memory_pool_allocate",37,7549895,204051,1.2772061724176118
"hsa_executable_destroy",11,4183271,380297,0.7076786554111807
"hsa_executable_load_agent_code_object",12,3087647,257303,0.522333331343909
"hsa_amd_memory_async_copy",44,1713171,38935,0.2898149677057565
"hsa_code_object_reader_create_from_memory",12,1581814,131817,0.26759347042794535
"hsa_agent_get_info",64,254935,3983,0.04312703098060091
"hsa_amd_profiling_get_dispatch_time",55,204528,3718,0.03459974264969636
"hsa_amd_signal_async_handler",22,135871,6175,0.022985124939161848
"hsa_signal_load_relaxed",476,116268,244,0.019668910263606433
"hsa_amd_profiling_get_async_copy_time",44,106650,2423,0.018041845388358155
"hsa_amd_pointer_info",176,104774,595,0.01772448484500551
"hsa_signal_create",49,102083,2083,0.017269251784151576
"hsa_amd_agents_allow_access",4,68652,17163,0.011613771866868863
"hsa_executable_create_alt",12,60621,5051,0.010255177771098545
"hsa_executable_iterate_symbols",21,38399,1828,0.0064959101834745885
"hsa_executable_symbol_get_info",219,23710,108,0.004010990662522006
"hsa_isa_get_info_alt",2,20581,10290,0.003481661696556955
"hsa_executable_get_symbol_by_name",21,17346,826,0.0029344008448800806
"hsa_signal_store_screlease",33,13229,400,0.002237933170582185
"hsa_signal_silent_store_relaxed",77,11586,150,0.0019599889420489226
"hsa_code_object_reader_destroy",11,10776,979,0.0018229622682132912
"hsa_signal_destroy",12,9325,777,0.0015774984364410672
"hsa_iterate_agents",1,8623,8623,0.0014587419857835199
"hsa_amd_profiling_async_copy_enable",1,8613,8613,0.0014570502984522157
"hsa_queue_add_write_index_screlease",33,8562,259,0.0014484226930625648
"hsa_amd_agent_iterate_memory_pools",3,4927,1642,0.0008334943481335268
"hsa_queue_load_read_index_relaxed",33,4441,134,0.000751278343832148
"hsa_amd_memory_pool_get_info",22,1934,87,0.0003271723298742117
"hsa_queue_load_read_index_scacquire",33,1925,58,0.000325649811276038
"hsa_amd_agent_memory_pool_get_info",9,810,90,0.00013702667383563158
"hsa_system_get_major_extension_table",1,511,511,8.644522262963917e-05
"hsa_agent_iterate_isas",1,481,481,8.137016063572689e-05
"hsa_system_get_info",3,371,123,6.276159999138187e-05
"hsa_amd_profiling_set_profiler_enabled",1,331,331,5.599485066616549e-05
