"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",44,827974749,18817607,73.34303231211302
"hipMalloc",44,232670036,5287955,20.61020096206883
"hipModuleLoadData",2,36665552,18332776,3.247880165820685
"hipEventSynchronize",11,19543212,1776655,1.7311620081767432
"hipModuleUnload",2,11236948,5618474,0.9953828196438558
"hipEventRecord",22,341260,15511,0.030229234933868362
"hipExtModuleLaunchKernel",11,246707,22427,0.02185361267898336
"hipEventDestroy",22,71575,3253,0.006340202456753291
"hipEventElapsedTime",11,59661,5423,0.005284845529477584
"hipGetDeviceProperties",14,56071,4005,0.004966838867657894
"hipEventCreate",22,29439,1338,0.002607743208164305
"hipModuleGetFunction",2,8123,4061,0.0007195454356438279
"hipGetDevice",13,3704,284,0.000328104923504215
"hipGetDeviceCount",1,131,131,1.160414281291905e-05
