"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_amd_memory_lock_to_pool",44,529811734,12041175,53.77329179070116
"hsa_amd_memory_pool_allocate",48,233212743,4858598,23.669949293061144
"hsa_signal_wait_scacquire",102,174308571,1708907,17.691464813807144
"hsa_queue_create",1,29248212,29248212,2.968550028815117
"hsa_executable_iterate_symbols",224,6857947,30615,0.6960479760083298
"hsa_executable_load_agent_code_object",3,4389842,1463280,0.4455474268168533
"hsa_executable_destroy",2,2130404,1065202,0.21622555442321878
"hsa_amd_memory_async_copy",44,1805832,41041,0.1832830887452286
"hsa_executable_symbol_get_info",36620,1435857,39,0.14573244131040855
"hsa_executable_freeze",3,393769,131256,0.03996562170352498
"hsa_code_object_reader_create_from_memory",3,350625,116875,0.035586717364237526
"hsa_agent_get_info",267,249721,935,0.025345456390487728
"hsa_amd_agents_allow_access",4,204326,51081,0.020738086594410544
"hsa_signal_load_relaxed",476,167800,352,0.017030876787790538
"hsa_amd_profiling_get_async_copy_time",44,132085,3001,0.013405979502475048
"hsa_amd_signal_async_handler",22,115255,5238,0.011697817068991647
"hsa_signal_create",40,99630,2490,0.010111956223883022
"hsa_amd_pointer_info",176,86492,491,0.008778513677768648
"hsa_executable_get_symbol_by_name",224,80605,359,0.008181012058878761
"hsa_amd_profiling_get_dispatch_time",55,61013,1109,0.006192520175527199
"hsa_isa_get_info_alt",2,20069,10034,0.0020369050432310384
"hsa_executable_create_alt",3,17667,5889,0.00179311382723418
"hsa_signal_silent_store_relaxed",77,15436,200,0.0015666782723261902
"hsa_signal_store_screlease",33,14934,452,0.0015157277350945403
"hsa_queue_add_write_index_screlease",33,14272,432,0.0014485379828089783
"hsa_queue_load_read_index_relaxed",33,9675,293,0.0009819650352912602
"hsa_amd_profiling_async_copy_enable",1,8964,8964,0.0009098020233954372
"hsa_iterate_agents",1,8913,8913,0.0009046257735970027
"hsa_amd_agent_iterate_memory_pools",3,4907,1635,0.0004980364266846731
"hsa_queue_load_read_index_scacquire",33,4185,126,0.0004247569687538939
"hsa_signal_destroy",3,2703,901,0.0002743412393170311
"hsa_amd_memory_pool_get_info",22,1753,79,0.00017792089993442676
"hsa_code_object_reader_destroy",2,912,456,9.256352580730018e-05
"hsa_amd_agent_memory_pool_get_info",9,751,83,7.622281565930091e-05
"hsa_system_get_major_extension_table",1,521,521,5.287894401930196e-05
"hsa_agent_iterate_isas",1,451,451,4.577428743321533e-05
"hsa_amd_profiling_set_profiler_enabled",1,380,380,3.8568135753041736e-05
"hsa_system_get_info",3,341,113,3.460982708365061e-05
