"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",44,538954901,12248975,77.01203819457143
"hipEventSynchronize",11,108337141,9848831,15.480449338343934
"hipModuleLoadData",11,40126689,3647880,5.733760097841079
"hipMalloc",33,6989846,211813,0.998789112275226
"hipModuleUnload",11,4637775,421615,0.6626983162693765
"hipEventRecord",22,384339,17469,0.05491875051649894
"hipModuleLaunchKernel",11,152219,13838,0.021750791059119562
"hipEventDestroy",22,76258,3466,0.010896614907379101
"hipEventElapsedTime",11,59840,5440,0.00855062335830425
"hipGetDeviceProperties",11,51869,4715,0.007411635744850988
"hipModuleGetFunction",11,38919,3538,0.005561191685859677
"hipEventCreate",22,22222,1010,0.003175333426942464
